                   X3                         X4            X5    X6    X7
209             29.87                      30.14         30.26 30.16    30
210             29.83                      29.94         30.22  30.1 29.92
211                10                         10            10    10    10
212                 9                          9            10    10    10
213                 7                          5            10    10    10
214                12                         23            14    18    21
215                 6                         11             7    10    12
216                14                         32            16    23    25
217              0.01                          T          0.00  0.00  0.00
218                 4                          6             1     1     1
219 Rain-Thunderstorm                       Rain                          
220                91                         47            94   190   231
221                54                         56            61    64    72
222                52                         54            55    56    62
223                49                         51            48    48    52
224                47                         45            50    49    54
225                43                         42            47    46    47
226                41                         38            41    43    43
227                80                         77            96    89    77
228                72                         66            80    71    61
229                64                         54            64    52    44
230             30.46                      30.44         30.29 30.08 29.99
231             30.42                      30.39          30.2    30 29.95
232             30.35                       30.3         30.09 29.94  29.9
233                10                         10            10    10    10
234                 9                         10            10    10    10
235                 5                         10            10    10    10
236                29                         28            15    12    13
237                22                         18             9     6     7
238                37                         35            18    15    17
239              0.01                       0.00          0.00  0.00  0.00
240                 8                          7             6     1     3
241              Rain                                                     
242                39                         40            14   344   299
243                73                         60            76    73    69
244                60                         55            63    68    60
245                47                         49            50    62    50
246                44                         49            61    62    45
247                42                         45            55    61    38
248                40                         43            48    54    33
249                82                         83           100    93    57
250                57                         69            77    79    48
251                31                         55            53    64    39
252             30.25                       30.4          30.3 30.07 30.02
253             30.13                      30.33          30.2  29.9 29.93
254             30.06                      30.26         30.09 29.71 29.83
255                10                         10            10    10    10
256                10                         10             9    10    10
257                10                         10             5    10    10
258                16                         13            22    26    25
259                 8                          7            12    15    13
260              <NA>                         16            31    32    33
261              0.00                       0.00          0.00  0.00  0.00
262                 1                          0             4     4     6
263                                                                       
264               281                        129           224   222   280
265              <NA>                       <NA>          <NA>  <NA>  <NA>
266              <NA>                       <NA>          <NA>  <NA>  <NA>
267              <NA>                       <NA>          <NA>  <NA>  <NA>
268              <NA>                       <NA>          <NA>  <NA>  <NA>
269              <NA>                       <NA>          <NA>  <NA>  <NA>
270              <NA>                       <NA>          <NA>  <NA>  <NA>
271              <NA>                       <NA>          <NA>  <NA>  <NA>
272              <NA>                       <NA>          <NA>  <NA>  <NA>
273              <NA>                       <NA>          <NA>  <NA>  <NA>
274              <NA>                       <NA>          <NA>  <NA>  <NA>
275              <NA>                       <NA>          <NA>  <NA>  <NA>
276              <NA>                       <NA>          <NA>  <NA>  <NA>
277              <NA>                       <NA>          <NA>  <NA>  <NA>
278              <NA>                       <NA>          <NA>  <NA>  <NA>
279              <NA>                       <NA>          <NA>  <NA>  <NA>
280              <NA>                       <NA>          <NA>  <NA>  <NA>
281              <NA>                       <NA>          <NA>  <NA>  <NA>
282              <NA>                       <NA>          <NA>  <NA>  <NA>
283              <NA>                       <NA>          <NA>  <NA>  <NA>
284              <NA>                       <NA>          <NA>  <NA>  <NA>
285              <NA>                       <NA>          <NA>  <NA>  <NA>
286              <NA>                       <NA>          <NA>  <NA>  <NA>
