      X year month                   measure                X1        X2
244 244 2015    11         Mean.TemperatureF                55        58
245 245 2015    11          Min.TemperatureF                48        51
246 246 2015    11            Max.Dew.PointF                50        48
247 247 2015    11            MeanDew.PointF                46        42
248 248 2015    11             Min.DewpointF                39        39
249 249 2015    11              Max.Humidity                80        83
250 250 2015    11             Mean.Humidity                73        63
251 251 2015    11              Min.Humidity                65        43
252 252 2015    11  Max.Sea.Level.PressureIn             30.07     30.11
253 253 2015    11 Mean.Sea.Level.PressureIn             29.91     30.02
254 254 2015    11  Min.Sea.Level.PressureIn             29.79     29.94
255 255 2015    11       Max.VisibilityMiles                10        10
256 256 2015    11      Mean.VisibilityMiles                10        10
257 257 2015    11       Min.VisibilityMiles                10        10
258 258 2015    11         Max.Wind.SpeedMPH                22        18
259 259 2015    11        Mean.Wind.SpeedMPH                11         7
260 260 2015    11         Max.Gust.SpeedMPH                28        23
261 261 2015    11           PrecipitationIn                 T      0.00
262 262 2015    11                CloudCover                 6         2
263 263 2015    11                    Events              Rain          
264 264 2015    11            WindDirDegrees               207       251
265 265 2015    12          Max.TemperatureF                45      <NA>
266 266 2015    12         Mean.TemperatureF                39      <NA>
267 267 2015    12          Min.TemperatureF                32      <NA>
268 268 2015    12            Max.Dew.PointF                43      <NA>
269 269 2015    12            MeanDew.PointF                35      <NA>
270 270 2015    12             Min.DewpointF                25      <NA>
271 271 2015    12              Max.Humidity                96      <NA>
272 272 2015    12             Mean.Humidity                83      <NA>
273 273 2015    12              Min.Humidity                69      <NA>
274 274 2015    12  Max.Sea.Level.PressureIn              30.4      <NA>
275 275 2015    12 Mean.Sea.Level.PressureIn             30.24      <NA>
276 276 2015    12  Min.Sea.Level.PressureIn             30.01      <NA>
277 277 2015    12       Max.VisibilityMiles                10      <NA>
278 278 2015    12      Mean.VisibilityMiles                 8      <NA>
279 279 2015    12       Min.VisibilityMiles                 1      <NA>
280 280 2015    12         Max.Wind.SpeedMPH                15      <NA>
281 281 2015    12        Mean.Wind.SpeedMPH                 6      <NA>
282 282 2015    12         Max.Gust.SpeedMPH                17      <NA>
283 283 2015    12           PrecipitationIn              0.14      <NA>
284 284 2015    12                CloudCover                 7      <NA>
285 285 2015    12                    Events              Rain      <NA>
286 286 2015    12            WindDirDegrees               109      <NA>
